expiration_date,expiration_category,friday_number
2016-01-08,Weekly,2.0
2016-01-29,Weekly,5.0
2016-02-05,Weekly,1.0
2016-02-12,Weekly,2.0
2016-02-19,Monthly,3.0
2016-02-26,Weekly,4.0
2016-03-04,Weekly,1.0
2016-03-11,Weekly,2.0
2016-03-18,Monthly,3.0
2016-04-01,Weekly,1.0
2016-04-08,Weekly,2.0
2016-04-15,Monthly,3.0
2016-04-22,Weekly,4.0
2016-04-29,Weekly,5.0
2016-05-06,Weekly,1.0
2016-05-13,Weekly,2.0
2016-05-20,Monthly,3.0
2016-05-27,Weekly,4.0
2016-06-10,Weekly,2.0
2016-06-17,Monthly,3.0
2016-06-24,Weekly,4.0
2016-07-01,Weekly,1.0
2016-07-15,Monthly,3.0
2016-07-22,Weekly,4.0
2016-07-29,Weekly,5.0
2016-08-05,Weekly,1.0
2016-08-12,Weekly,2.0
2016-08-19,Monthly,3.0
2016-08-26,Weekly,4.0
2016-09-02,Weekly,1.0
2016-09-16,Monthly,3.0
2016-09-23,Weekly,4.0
2016-09-30,Weekly,5.0
2016-10-07,Weekly,1.0
2016-10-14,Weekly,2.0
2016-10-21,Monthly,3.0
2016-10-28,Weekly,4.0
2016-11-04,Weekly,1.0
2016-11-11,Weekly,2.0
2016-11-18,Monthly,3.0
2016-11-25,Weekly,4.0
2016-12-02,Weekly,1.0
2016-12-09,Weekly,2.0
2016-12-16,Monthly,3.0
2016-12-23,Weekly,4.0
2017-01-20,Monthly,3.0
