ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:KO200110C00052000,2020-01-06,2020-01-10,KO,C,52.0,1,0.69,0.69,-5.28,YES,0.69,1.26,0.69,1.26,0.69,0.69,1,1578286800000000000,4,54.65,54.67,54.9,54.52,54.9,55.53,55.93,55.93,0.0155,0.69,1.26
O:KO200110C00053000,2020-01-06,2020-01-10,KO,C,53.0,2,0.42,0.42,-3.46,YES,0.42,0.76,0.42,0.76,0.42,0.42,2,1578286800000000000,4,54.65,54.67,54.9,54.52,54.9,55.53,55.93,55.93,0.0155,0.42,0.76
O:KO200110C00053500,2020-01-06,2020-01-10,KO,C,53.5,14,0.29,0.3,-2.55,YES,0.32,0.57,0.29,0.53,0.34,0.29,7,1578286800000000000,4,54.65,54.67,54.9,54.52,54.9,55.53,55.93,55.93,0.0155,0.32,0.62
O:KO200110C00054000,2020-01-06,2020-01-10,KO,C,54.0,33,0.2,0.18,-1.64,YES,0.2,0.36,0.18,0.33,0.21,0.18,7,1578286800000000000,4,54.65,54.67,54.9,54.52,54.9,55.53,55.93,55.93,0.0155,0.2,0.38
O:KO200110C00054500,2020-01-06,2020-01-10,KO,C,54.5,487,0.13,0.1,-0.73,YES,0.11,0.2,0.09,0.16,0.13,0.09,61,1578286800000000000,4,54.65,54.67,54.9,54.52,54.9,55.53,55.93,55.93,0.0155,0.11,0.24
O:KO200110C00055000,2020-01-06,2020-01-10,KO,C,55.0,1073,0.06,0.05,0.18,YES,0.06,0.11,0.04,0.07,0.08,0.04,135,1578286800000000000,4,54.65,54.67,54.9,54.52,54.9,55.53,55.93,55.93,0.0155,0.06,0.15
O:KO200110C00055500,2020-01-06,2020-01-10,KO,C,55.5,1045,0.02,0.02,1.09,YES,0.02,0.05,0.01,0.02,0.04,0.01,140,1578286800000000000,4,54.65,54.67,54.9,54.52,54.9,55.53,55.93,55.93,0.0155,0.02,0.07
O:KO200110C00056000,2020-01-06,2020-01-10,KO,C,56.0,43,0.01,0.01,2.0,YES,0.0,0.01,0.0,0.0,0.01,0.0,15,1578286800000000000,4,54.65,54.67,54.9,54.52,54.9,55.53,55.93,55.93,0.0155,0.0,0.02
O:KO200110C00056500,2020-01-06,2020-01-10,KO,C,56.5,1,0.0,0.0,2.91,YES,0.0,0.0,0.0,0.0,0.0,0.0,1,1578286800000000000,4,54.65,54.67,54.9,54.52,54.9,55.53,55.93,55.93,0.0155,0.0,0.0
O:KO200117C00040000,2020-01-13,2020-01-17,KO,C,40.0,2,3.99,3.99,-28.86,YES,3.99,7.1,3.99,7.1,3.99,3.99,1,1578891600000000000,4,55.53,56.13,56.23,55.42,56.23,56.94,57.15,57.15,0.0155,3.99,7.1
O:KO200117C00045000,2020-01-13,2020-01-17,KO,C,45.0,12,2.59,2.76,-19.97,YES,2.68,4.78,2.59,4.61,2.78,2.59,6,1578891600000000000,4,55.53,56.13,56.23,55.42,56.23,56.94,57.15,57.15,0.0155,2.68,4.94
O:KO200117C00047000,2020-01-13,2020-01-17,KO,C,47.0,4,2.19,2.27,-16.41,YES,2.24,3.97,2.19,3.89,2.28,2.19,4,1578891600000000000,4,55.53,56.13,56.23,55.42,56.23,56.94,57.15,57.15,0.0155,2.24,4.05
O:KO200117C00048000,2020-01-13,2020-01-17,KO,C,48.0,4,2.0,2.02,-14.64,YES,2.01,3.57,2.0,3.56,2.02,2.0,2,1578891600000000000,4,55.53,56.13,56.23,55.42,56.23,56.94,57.15,57.15,0.0155,2.01,3.59
O:KO200117C00049000,2020-01-13,2020-01-17,KO,C,49.0,10,1.76,1.77,-12.86,YES,1.76,3.14,1.76,3.13,1.77,1.76,3,1578891600000000000,4,55.53,56.13,56.23,55.42,56.23,56.94,57.15,57.15,0.0155,1.76,3.15
O:KO200117C00050000,2020-01-13,2020-01-17,KO,C,50.0,42,1.38,1.53,-11.08,YES,1.46,2.59,1.38,2.45,1.53,1.38,13,1578891600000000000,4,55.53,56.13,56.23,55.42,56.23,56.94,57.15,57.15,0.0155,1.46,2.72
O:KO200117C00052500,2020-01-13,2020-01-17,KO,C,52.5,146,0.76,0.9,-6.63,YES,0.84,1.49,0.76,1.35,0.92,0.76,42,1578891600000000000,4,55.53,56.13,56.23,55.42,56.23,56.94,57.15,57.15,0.0155,0.84,1.64
O:KO200117C00053500,2020-01-13,2020-01-17,KO,C,53.5,10,0.58,0.66,-4.86,YES,0.62,1.1,0.58,1.03,0.66,0.58,7,1578891600000000000,4,55.53,56.13,56.23,55.42,56.23,56.94,57.15,57.15,0.0155,0.62,1.17
O:KO200117C00054000,2020-01-13,2020-01-17,KO,C,54.0,4,0.55,0.54,-3.97,YES,0.53,0.94,0.51,0.91,0.55,0.51,4,1578891600000000000,4,55.53,56.13,56.23,55.42,56.23,56.94,57.15,57.15,0.0155,0.53,0.98
O:KO200117C00054500,2020-01-13,2020-01-17,KO,C,54.5,27,0.28,0.4,-3.08,YES,0.34,0.61,0.28,0.5,0.41,0.28,7,1578891600000000000,4,55.53,56.13,56.23,55.42,56.23,56.94,57.15,57.15,0.0155,0.34,0.73
